F0150,Vascular dementia without behavioral disturbance
F0151,Vascular dementia with behavioral disturbance
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb
F0281,Dementia in oth diseases classd elswhr w behavioral disturb
F0390,Unspecified dementia without behavioral disturbance
F0391,Unspecified dementia with behavioral disturbance
F04,Amnestic disorder due to known physiological condition
F05,Delirium due to known physiological condition
F060,Psychotic disorder w hallucin due to known physiol condition
F061,Catatonic disorder due to known physiological condition
F062,Psychotic disorder w delusions due to known physiol cond
F0630,"Mood disorder due to known physiological condition, unsp"
F0631,Mood disorder due to known physiol cond w depressv features
F0632,Mood disord d/t physiol cond w major depressive-like epsd
F0633,Mood disorder due to known physiol cond w manic features
F0634,Mood disorder due to known physiol cond w mixed features
F064,Anxiety disorder due to known physiological condition
F068,Oth mental disorders due to known physiological condition
F070,Personality change due to known physiological condition
F0781,Postconcussional syndrome
F0789,Oth personality & behavrl disord due to known physiol cond
F079,Unsp personality & behavrl disord due to known physiol cond
F09,Unsp mental disorder due to known physiological condition
F1010,"Alcohol abuse, uncomplicated"
F1011,"Alcohol abuse, in remission"
F10120,"Alcohol abuse with intoxication, uncomplicated"
F10121,Alcohol abuse with intoxication delirium
F10129,"Alcohol abuse with intoxication, unspecified"
F1014,Alcohol abuse with alcohol-induced mood disorder
F10150,Alcohol abuse w alcoh-induce psychotic disorder w delusions
F10151,Alcohol abuse w alcoh-induce psychotic disorder w hallucin
F10159,"Alcohol abuse with alcohol-induced psychotic disorder, unsp"
F10180,Alcohol abuse with alcohol-induced anxiety disorder
F10182,Alcohol abuse with alcohol-induced sexual dysfunction
,Alcohol abuse with alcohol-induced sleep disorder
F10188,Alcohol abuse with other alcohol-induced disorder
F1019,Alcohol abuse with unspecified alcohol-induced disorder
F1020,"Alcohol dependence, uncomplicated"
F1021,"Alcohol dependence, in remission"
F10220,"Alcohol dependence with intoxication, uncomplicated"
F10221,Alcohol dependence with intoxication delirium
F10229,"Alcohol dependence with intoxication, unspecified"
F10230,"Alcohol dependence with withdrawal, uncomplicated"
F10231,Alcohol dependence with withdrawal delirium
F10232,Alcohol dependence w withdrawal with perceptual disturbance
F10239,"Alcohol dependence with withdrawal, unspecified"
F1024,Alcohol dependence with alcohol-induced mood disorder
F10250,Alcohol depend w alcoh-induce psychotic disorder w delusions
F10251,Alcohol depend w alcoh-induce psychotic disorder w hallucin
F10259,"Alcohol dependence w alcoh-induce psychotic disorder, unsp"
F1026,Alcohol depend w alcoh-induce persisting amnestic disorder
F1027,Alcohol dependence with alcohol-induced persisting dementia
F10280,Alcohol dependence with alcohol-induced anxiety disorder
F10281,Alcohol dependence with alcohol-induced sexual dysfunction
F10282,Alcohol dependence with alcohol-induced sleep disorder
F10288,Alcohol dependence with other alcohol-induced disorder
F1029,Alcohol dependence with unspecified alcohol-induced disorder
F10920,"Alcohol use, unspecified with intoxication, uncomplicated"
F10921,"Alcohol use, unspecified with intoxication delirium"
F10929,"Alcohol use, unspecified with intoxication, unspecified"
F1094,"Alcohol use, unspecified with alcohol-induced mood disorder"
F10950,"Alcohol use, unsp w alcoh-induce psych disorder w delusions"
F10951,"Alcohol use, unsp w alcoh-induce psych disorder w hallucin"
F10959,"Alcohol use, unsp w alcohol-induced psychotic disorder, unsp"
F1096,"Alcohol use, unsp w alcoh-induce persist amnestic disorder"
F1097,"Alcohol use, unsp with alcohol-induced persisting dementia"
F10980,"Alcohol use, unsp with alcohol-induced anxiety disorder"
F10981,"Alcohol use, unsp with alcohol-induced sexual dysfunction"
F10982,"Alcohol use, unspecified with alcohol-induced sleep disorder"
F10988,"Alcohol use, unspecified with other alcohol-induced disorder"
F1099,"Alcohol use, unsp with unspecified alcohol-induced disorder"
F1110,"Opioid abuse, uncomplicated"
F1111,"Opioid abuse, in remission"
F11120,"Opioid abuse with intoxication, uncomplicated"
F11121,Opioid abuse with intoxication delirium
F11122,Opioid abuse with intoxication with perceptual disturbance
F11129,"Opioid abuse with intoxication, unspecified"
F1114,Opioid abuse with opioid-induced mood disorder
F11150,Opioid abuse w opioid-induced psychotic disorder w delusions
F11151,Opioid abuse w opioid-induced psychotic disorder w hallucin
F11159,"Opioid abuse with opioid-induced psychotic disorder, unsp"
F11181,Opioid abuse with opioid-induced sexual dysfunction
F11182,Opioid abuse with opioid-induced sleep disorder
F11188,Opioid abuse with other opioid-induced disorder
F1119,Opioid abuse with unspecified opioid-induced disorder
F1120,"Opioid dependence, uncomplicated"
F1121,"Opioid dependence, in remission"
F11220,"Opioid dependence with intoxication, uncomplicated"
F11221,Opioid dependence with intoxication delirium
F11222,Opioid dependence w intoxication with perceptual disturbance
F11229,"Opioid dependence with intoxication, unspecified"
F1123,Opioid dependence with withdrawal
F1124,Opioid dependence with opioid-induced mood disorder
F11250,Opioid depend w opioid-induc psychotic disorder w delusions
F11251,Opioid depend w opioid-induc psychotic disorder w hallucin
F11259,"Opioid dependence w opioid-induced psychotic disorder, unsp"
F11281,Opioid dependence with opioid-induced sexual dysfunction
F11282,Opioid dependence with opioid-induced sleep disorder
F11288,Opioid dependence with other opioid-induced disorder
F1129,Opioid dependence with unspecified opioid-induced disorder
F1190,"Opioid use, unspecified, uncomplicated"
F11920,"Opioid use, unspecified with intoxication, uncomplicated"
F11921,"Opioid use, unspecified with intoxication delirium"
F11922,"Opioid use, unsp w intoxication with perceptual disturbance"
F11929,"Opioid use, unspecified with intoxication, unspecified"
F1193,"Opioid use, unspecified with withdrawal"
F1194,"Opioid use, unspecified with opioid-induced mood disorder"
F11950,"Opioid use, unsp w opioid-induc psych disorder w delusions"
F11951,"Opioid use, unsp w opioid-induc psych disorder w hallucin"
F11959,"Opioid use, unsp w opioid-induced psychotic disorder, unsp"
F11981,"Opioid use, unsp with opioid-induced sexual dysfunction"
F11982,"Opioid use, unspecified with opioid-induced sleep disorder"
F11988,"Opioid use, unspecified with other opioid-induced disorder"
F1199,"Opioid use, unsp with unspecified opioid-induced disorder"
F1210,"Cannabis abuse, uncomplicated"
F1211,"Cannabis abuse, in remission"
F12120,"Cannabis abuse with intoxication, uncomplicated"
F12121,Cannabis abuse with intoxication delirium
F12122,Cannabis abuse with intoxication with perceptual disturbance
F12129,"Cannabis abuse with intoxication, unspecified"
F12150,Cannabis abuse with psychotic disorder with delusions
F12151,Cannabis abuse with psychotic disorder with hallucinations
F12159,"Cannabis abuse with psychotic disorder, unspecified"
F12180,Cannabis abuse with cannabis-induced anxiety disorder
F12188,Cannabis abuse with other cannabis-induced disorder
F1219,Cannabis abuse with unspecified cannabis-induced disorder
F1220,"Cannabis dependence, uncomplicated"
F1221,"Cannabis dependence, in remission"
F12220,"Cannabis dependence with intoxication, uncomplicated"
F12221,Cannabis dependence with intoxication delirium
F12222,Cannabis dependence w intoxication w perceptual disturbance
F12229,"Cannabis dependence with intoxication, unspecified"
F12250,Cannabis dependence with psychotic disorder with delusions
F12251,Cannabis dependence w psychotic disorder with hallucinations
F12259,"Cannabis dependence with psychotic disorder, unspecified"
F12280,Cannabis dependence with cannabis-induced anxiety disorder
F12288,Cannabis dependence with other cannabis-induced disorder
F1229,Cannabis dependence with unsp cannabis-induced disorder
F1290,"Cannabis use, unspecified, uncomplicated"
F12920,"Cannabis use, unspecified with intoxication, uncomplicated"
F12921,"Cannabis use, unspecified with intoxication delirium"
F12922,"Cannabis use, unsp w intoxication w perceptual disturbance"
F12929,"Cannabis use, unspecified with intoxication, unspecified"
F12950,"Cannabis use, unsp with psychotic disorder with delusions"
F12951,"Cannabis use, unsp w psychotic disorder with hallucinations"
F12959,"Cannabis use, unsp with psychotic disorder, unspecified"
F12980,"Cannabis use, unspecified with anxiety disorder"
F12988,"Cannabis use, unsp with other cannabis-induced disorder"
F1299,"Cannabis use, unsp with unsp cannabis-induced disorder"
F1310,"Sedative, hypnotic or anxiolytic abuse, uncomplicated"
F1311,"Sedative, hypnotic or anxiolytic abuse, in remission"
F13120,"Sedatv/hyp/anxiolytc abuse w intoxication, uncomplicated"
F13121,Sedatv/hyp/anxiolytc abuse w intoxication delirium
F13129,"Sedative, hypnotic or anxiolytic abuse w intoxication, unsp"
F1314,"Sedative, hypnotic or anxiolytic abuse w mood disorder"
F13150,Sedatv/hyp/anxiolytc abuse w psychotic disorder w delusions
